id_,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
221,0,1,284,,,8,27789,0,0,-3,3,99.7,0,3,2.5,3.0,2,Fernando,2.0,19,0,61.0,False,399.8,1725,,,52,1,0,0,27789.jpg,1.9,1,0,Luiz Rosa,0.7,False,,a,11,43,110.0,38,38042,609,79337,941,0.4,7.3,Fernandinho,5
500,2,0,123,100.0,100.0,3,170137,0,0,-1,1,189.7,0,3,1.1,1.0,0,Allan,1.0,8,1,60.2,False,167.6,905,,2020-01-21T22:30:17.332256Z,54,0,0,0,170137.jpg,2.8,0,0,Saint-Maximin,0.3,False,,a,13,4,246.0,37,52361,965,75147,694,0.2,6.9,Saint-Maximin,0
369,0,0,123,100.0,100.0,4,61566,0,0,-4,4,220.6,0,3,1.8,2.3,2,Roberto,1.8,11,2,62.7,False,169.6,971,,2020-01-05T01:00:12.397900Z,56,0,0,0,61566.jpg,2.1,0,0,Pereyra,0.6,False,,a,18,57,237.0,37,26930,349,240321,381,0.3,6.6,Pereyra,3
274,1,1,298,100.0,100.0,3,232980,0,0,-2,2,263.8,0,2,2.0,1.5,4,Maximillian,2.5,43,0,75.2,False,326.4,1980,,2019-12-27T23:30:16.214403Z,43,0,0,0,232980.jpg,1.7,0,0,Aarons,1.1,False,,a,14,45,161.0,37,50162,1239,158538,696,0.6,8.6,Aarons,5
504,1,5,124,100.0,100.0,1,444145,0,0,0,0,25.1,0,4,3.3,2.8,8,Gabriel Teodoro,2.8,9,3,37.7,False,148.0,566,,2019-12-23T12:00:20.317919Z,45,0,0,0,444145.jpg,2.8,0,0,Martinelli Silva,2.7,False,,a,1,3,204.0,37,319362,58710,223753,5445,0.6,8.2,Martinelli,1
459,0,1,281,100.0,100.0,3,103192,0,0,-3,3,30.3,0,2,0.7,0.7,0,Kurt,0.7,26,0,52.9,False,376.0,1668,,2019-09-28T16:00:17.677906Z,47,1,0,0,103192.jpg,1.9,0,0,Zouma,1.7,False,,a,6,8,127.0,37,148393,345,253071,3686,0.1,7.9,Zouma,3
204,2,2,216,100.0,75.0,3,102826,0,0,-5,5,294.6,0,2,1.7,2.0,0,Benjamin,1.7,11,0,53.6,False,185.8,921,,2020-01-20T14:00:12.737018Z,55,0,0,0,102826.jpg,3.3,0,0,Mendy,1.0,False,,a,11,43,54.0,36,234473,955,206859,6034,0.3,6.5,Mendy,2
359,1,7,148,0.0,0.0,4,52940,0,0,-4,4,108.4,1,2,0.0,0.0,0,Daryl,0.0,5,0,27.1,False,116.0,606,Knee injury - Unknown return date,2019-11-23T17:00:22.899461Z,41,1,0,0,52940.jpg,4.5,0,0,Janmaat,0.6,False,,i,18,57,46.0,36,181750,277,187761,1417,0.0,8.8,Janmaat,1
528,2,0,125,100.0,100.0,0,247632,0,0,0,0,120.9,0,3,2.8,2.3,2,Pedro,3.3,8,2,45.0,False,144.8,597,,2019-11-15T13:30:15.206140Z,50,0,0,0,247632.jpg,2.1,0,0,Lomba Neto,0.2,False,,a,20,39,186.0,36,18831,2208,8350,930,0.7,7.2,Neto,2
439,0,0,222,100.0,100.0,4,60232,0,0,-2,2,18.0,0,2,2.7,3.2,1,Craig,2.7,26,0,48.8,False,318.8,1459,,2019-11-23T17:00:23.140909Z,48,0,0,0,60232.jpg,1.9,0,0,Dawson,0.2,False,,a,18,57,151.0,36,9209,217,19198,232,0.6,7.5,Dawson,4
4,2,3,216,100.0,100.0,3,154043,0,0,-4,4,155.4,1,2,2.2,1.7,0,Ainsley,1.7,19,0,44.9,False,261.8,1210,,2019-09-22T18:00:10.824841Z,46,0,0,0,154043.jpg,2.6,1,0,Maitland-Niles,2.6,False,,a,1,3,37.0,36,587137,800,601603,3962,0.4,7.8,Maitland-Niles,3
381,0,2,221,100.0,100.0,3,219924,0,0,-1,1,19.1,0,2,1.1,0.7,0,Issa,1.1,30,1,42.0,False,293.0,1415,,2019-11-23T14:30:26.684183Z,44,0,0,0,219924.jpg,2.1,0,0,Diop,2.1,False,,a,19,21,108.0,36,243118,376,357591,1593,0.2,8.2,Diop,6
442,1,2,171,100.0,100.0,1,231372,0,0,-2,2,163.2,0,3,0.0,1.5,0,Tanguy,0.5,13,2,51.2,False,236.0,797,,2020-01-01T17:30:18.888298Z,58,0,0,0,231372.jpg,2.4,0,0,Ndombele,2.3,False,,a,17,6,112.0,36,583324,215,820926,680,0.1,6.2,Ndombele,2
267,3,0,102,100.0,100.0,3,104953,0,0,-2,2,186.7,0,3,1.5,1.0,2,Christian,1.0,14,0,36.3,False,121.0,732,,2019-08-16T12:00:11.640631Z,53,0,0,0,104953.jpg,2.0,0,0,Atsu,0.1,False,,a,13,4,55.0,36,23091,77,27445,137,0.2,6.8,Atsu,2
315,3,1,87,75.0,100.0,1,20452,0,0,-4,4,140.3,0,4,0.8,2.0,2,Shane,2.5,12,1,56.5,False,117.2,739,Knee injury - 75% chance of playing,2020-01-23T20:00:20.137093Z,46,0,0,0,20452.jpg,2.6,0,0,Long,1.9,False,,d,16,20,306.0,36,115467,1455,340697,3790,0.5,7.8,Long,0
382,0,3,189,,,3,166640,0,0,-2,2,18.2,1,2,1.4,1.3,0,Fabián,1.4,22,1,41.5,False,248.0,1081,,,43,0,0,0,166640.jpg,2.8,0,0,Balbuena,0.5,False,,a,19,21,149.0,36,38801,114,37835,1375,0.3,8.4,Balbuena,2
17,0,2,155,0.0,0.0,1,153133,0,0,-4,4,253.8,0,3,0.0,0.0,0,Alex,0.0,21,1,71.7,False,182.2,1039,Hamstring injury - Expected back 01 Feb,2019-12-21T14:30:20.051028Z,56,0,0,0,153133.jpg,2.2,0,0,Iwobi,0.9,False,,i,8,11,281.0,35,132753,9,238057,723,0.0,6.2,Iwobi,0
63,1,3,195,100.0,100.0,3,54469,0,0,-2,2,93.6,1,2,1.0,0.5,2,Adam,0.5,17,0,34.8,False,173.0,1107,,2019-11-30T15:00:18.860871Z,43,0,0,0,54469.jpg,2.7,0,0,Smith,0.4,False,,a,3,91,82.0,35,60317,171,132639,266,0.1,8.1,Adam Smith,4
364,1,2,108,,,0,73426,0,0,-4,4,123.6,0,4,1.0,1.5,1,Andre,1.0,17,2,50.1,False,106.0,706,,,56,0,0,0,73426.jpg,1.8,0,0,Gray,0.4,False,,a,18,57,281.0,35,39562,218,73136,302,0.2,6.2,Gray,1
244,0,0,256,,,2,101582,0,0,-2,2,430.9,0,3,2.7,2.7,2,Frederico,2.2,23,0,93.4,False,319.0,1588,,,53,0,0,0,101582.jpg,1.8,0,0,Rodrigues de Paula Santos,0.3,False,,a,12,1,183.0,35,21191,920,21265,777,0.4,6.6,Fred,4
85,1,0,213,,,4,68983,0,0,-3,3,176.3,0,2,0.7,0.7,6,Matthew,1.2,26,0,44.1,False,248.4,1260,,,42,0,0,0,68983.jpg,2.5,0,0,Lowton,0.4,False,,a,5,90,15.0,35,102641,768,102075,483,0.3,8.3,Lowton,2
15,2,1,177,100.0,100.0,2,37605,0,0,-3,3,471.3,0,3,2.7,2.2,1,Mesut,2.2,18,0,74.5,False,146.2,1118,,2019-12-20T10:30:11.550604Z,72,0,0,0,37605.jpg,2.5,0,0,Özil,1.1,False,,a,1,3,127.0,35,109508,2355,160266,3991,0.3,4.9,Özil,0
405,1,7,170,100.0,0.0,3,90585,0,0,-3,3,56.0,0,2,-0.5,0.0,0,Willy,0.0,7,0,28.7,False,215.0,720,,2019-10-26T20:00:22.175817Z,47,0,0,0,90585.jpg,4.2,1,0,Boly,1.9,False,,a,20,39,14.0,34,343507,316,663559,833,0.0,7.2,Boly,0
455,0,4,212,100.0,100.0,3,108156,0,0,-1,1,5.7,1,2,-0.5,-0.5,0,Bjorn,0.0,25,0,30.4,False,265.0,1221,,2020-01-02T12:30:17.002224Z,44,0,0,0,108156.jpg,2.4,0,0,Engels,0.5,False,,a,2,7,31.0,34,95871,25,86098,498,0.0,7.7,Engels,1
197,1,4,206,100.0,100.0,2,116643,0,0,-1,1,199.9,0,3,1.8,2.6,1,Fabio Henrique,0.3,10,1,46.7,False,223.8,1033,,2019-11-23T17:00:22.531327Z,54,0,0,0,116643.jpg,2.4,0,0,Tavares,1.0,False,,a,10,14,43.0,34,112195,548,146799,470,0.1,6.3,Fabinho,5
