id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
93,0,2,167,100.0,100.0,3,98747,1,-1,2,-2,20.3,0,1,4.2,4.2,7,Nick,4.2,9,0,21.0,False,188.6,720,,2019-07-31T00:00:11.182051Z,47,0,0,0,98747.jpg,4.0,0,26,Pope,15.1,False,,a,5,90,2.0,32,760721,25211,200243,9021,0.9,7.0,Pope,0
235,0,5,133,,,2,51940,0,0,1,-1,0.0,1,1,3.7,4.7,2,David,4.2,8,0,16.5,False,165.0,720,,,56,0,0,0,51940.jpg,4.0,0,22,de Gea,17.2,False,,a,12,1,0.0,32,693468,12866,523245,38895,0.8,5.7,de Gea,0
126,1,5,143,,,3,55494,0,0,1,-1,53.7,0,2,2.5,3.5,1,Joel,3.5,8,0,23.3,False,155.4,720,,,46,0,0,0,55494.jpg,4.0,0,0,Ward,3.5,False,,a,7,31,23.0,32,250998,6908,72621,7824,0.8,7.0,Ward,2
346,2,2,125,,,1,62974,0,0,1,-1,175.3,1,3,4.2,4.2,2,Erik,3.2,9,2,44.5,False,152.2,575,,,61,0,0,0,62974.jpg,3.9,0,0,Lamela,4.1,False,,a,17,6,117.0,31,465661,3912,283263,24085,0.5,5.1,Lamela,2
91,0,4,90,,,3,60689,0,0,-3,3,57.7,1,4,6.0,6.0,2,Chris,6.0,8,3,43.2,False,119.4,665,,,62,1,0,0,60689.jpg,3.8,0,0,Wood,1.3,False,,a,5,90,260.0,30,83386,4191,104665,6518,1.0,4.8,Wood,0
248,1,5,116,,,2,195851,0,0,0,0,94.5,0,3,3.3,4.3,1,Scott,3.8,7,1,38.3,False,160.0,705,,,50,0,0,0,195851.jpg,3.8,0,0,McTominay,2.0,False,,a,12,1,129.0,30,147680,8922,71820,8123,0.8,6.0,McTominay,1
185,0,4,125,75.0,0.0,2,60914,0,0,0,0,19.6,0,2,2.8,0.0,0,Joel,3.2,4,1,22.4,False,167.8,540,Knock - 75% chance of playing,2019-10-01T13:00:13.736264Z,55,0,0,0,60914.jpg,5.0,0,0,Matip,4.4,False,,d,10,14,35.0,30,421337,4865,240493,26205,0.6,5.5,Matip,0
131,0,2,146,,,3,40836,0,0,0,0,0.0,1,1,2.8,3.8,3,Vicente,3.8,8,0,17.3,False,173.6,720,,,50,0,0,0,40836.jpg,3.8,0,20,Guaita,0.8,False,,a,7,31,0.0,30,44685,2354,28951,2262,0.8,6.0,Guaita,1
283,4,3,128,,,0,195546,0,0,0,0,290.4,1,3,4.2,4.7,2,Emiliano,4.2,20,0,67.2,False,212.8,712,,,60,0,0,0,195546.jpg,3.8,0,0,Buendía,1.9,False,,a,14,45,168.0,30,169334,2304,92102,11730,0.7,5.0,Buendía,1
401,1,3,84,100.0,100.0,2,87835,0,0,0,0,23.1,1,2,5.2,4.2,1,Matt,5.2,4,1,21.5,False,79.0,412,,2019-09-01T18:30:14.976154Z,60,0,0,0,87835.jpg,4.3,0,0,Doherty,2.9,False,,a,20,39,112.0,30,78640,15680,139442,4423,0.9,5.0,Doherty,0
294,1,3,117,,,3,82691,0,0,0,0,93.7,0,2,2.8,3.8,6,George,3.8,7,0,26.1,False,116.8,720,,,45,0,0,0,82691.jpg,3.8,0,0,Baldock,0.7,False,,a,15,49,50.0,30,52848,3636,21399,1094,0.8,6.7,Baldock,2
252,0,2,134,100.0,100.0,3,119471,0,0,0,0,5.5,0,2,2.3,2.3,5,Fabian,2.8,13,1,29.6,False,212.6,703,,2019-09-14T16:30:11.209394Z,50,0,0,0,119471.jpg,3.8,0,0,Schär,2.5,False,,a,13,4,78.0,30,123196,3085,88403,3894,0.6,6.0,Schär,2
97,3,0,111,100.0,100.0,4,433154,0,0,0,0,155.6,0,3,3.2,3.2,3,Dwight,3.2,8,0,34.5,False,106.0,696,,2019-09-26T14:30:17.961067Z,60,0,0,0,433154.jpg,3.6,0,0,McNeil,0.4,False,,a,5,90,84.0,29,32991,982,32335,1663,0.5,4.8,McNeil,0
118,2,5,158,,,1,85955,1,-1,1,-1,147.9,1,3,5.3,5.3,1,Jorge Luiz,4.8,13,1,36.6,False,174.0,682,,,51,0,0,0,85955.jpg,3.6,0,0,Frello Filho,5.4,False,,a,6,8,42.0,29,301184,19021,210814,17536,0.9,5.7,Jorginho,4
212,0,0,146,,,3,121160,0,0,1,-1,0.0,0,1,4.0,4.0,0,Ederson,3.0,9,0,17.7,False,177.4,720,,,61,0,0,0,121160.jpg,3.6,0,20,Santana de Moraes,21.8,False,,a,11,43,0.0,29,651257,19200,487969,30907,0.5,4.8,Ederson,2
128,1,2,117,100.0,100.0,3,58786,0,0,1,-1,11.7,0,2,2.2,3.2,7,Martin,3.2,3,0,13.5,False,115.4,528,,2019-08-31T17:30:17.529253Z,41,0,0,0,58786.jpg,4.8,0,0,Kelly,25.7,False,,a,7,31,8.0,29,771716,40507,573535,11931,0.8,7.1,Kelly,0
29,2,2,142,,,2,114283,0,0,-1,1,253.0,0,3,4.2,3.7,7,Jack,4.2,12,1,58.6,False,212.8,720,,,59,0,0,0,114283.jpg,3.6,0,0,Grealish,3.8,False,,a,2,7,120.0,29,117512,10366,248453,3663,0.7,4.9,Grealish,2
262,0,1,139,,,3,67089,0,0,0,0,0.0,0,1,3.5,3.5,8,Martin,4.0,13,0,15.9,False,157.6,720,,,50,0,0,0,67089.jpg,3.6,0,22,Dubravka,0.9,False,,a,13,4,0.0,29,23988,1277,32809,1136,0.8,5.8,Dubravka,0
304,0,6,136,,,2,93100,0,0,2,-2,62.8,2,2,1.8,1.3,0,Jannik,1.8,11,1,34.7,False,162.4,618,,,52,0,0,0,93100.jpg,4.1,0,0,Vestergaard,6.1,False,,a,16,20,122.0,29,501036,2916,152734,20206,0.3,5.6,Vestergaard,1
243,0,1,81,100.0,100.0,1,200617,-1,1,1,-1,69.2,0,3,1.5,2.5,2,Daniel,2.0,8,3,42.8,False,140.2,644,,2019-09-18T13:00:18.535186Z,61,0,0,0,200617.jpg,3.6,0,0,James,11.3,False,,a,12,1,222.0,29,1083702,10646,554565,55536,0.3,4.7,James,3
162,1,4,159,,,2,37642,0,0,0,0,14.5,1,2,3.8,2.8,0,Jonny,3.8,7,0,24.0,False,184.4,720,,,50,0,0,0,37642.jpg,3.6,0,0,Evans,2.0,False,,a,9,13,41.0,29,113725,13235,51716,3993,0.8,5.8,Evans,1
502,0,4,96,,,3,115382,0,0,0,0,66.6,0,4,4.5,3.5,7,Neal,4.5,6,3,53.6,False,125.0,520,,,60,0,0,0,115382.jpg,3.6,0,0,Maupay,0.6,False,,a,4,36,345.0,29,68781,7225,60634,1666,0.8,4.8,Maupay,1
176,0,3,138,100.0,100.0,2,203341,0,0,0,0,62.1,0,3,3.2,2.2,1,Wilfred,3.2,6,2,32.5,False,205.4,630,,2019-08-27T11:00:13.484600Z,50,0,0,0,203341.jpg,4.0,0,0,Ndidi,3.1,False,,a,9,13,56.0,28,250911,8287,165702,6894,0.6,5.6,Ndidi,1
168,0,0,141,,,2,17745,0,0,0,0,10.0,0,1,3.8,2.8,3,Kasper,3.8,7,0,19.8,False,188.4,720,,,50,0,0,0,17745.jpg,3.5,0,22,Schmeichel,7.6,False,,a,9,13,0.0,28,231285,44849,154106,6086,0.8,5.6,Schmeichel,0
85,1,0,141,,,3,68983,0,0,0,0,136.4,0,2,4.5,4.5,6,Matthew,4.5,9,0,30.5,False,156.2,720,,,45,0,0,0,68983.jpg,3.5,0,0,Lowton,1.1,False,,a,5,90,11.0,28,78640,7175,28953,2296,1.0,6.2,Lowton,0
498,1,3,106,100.0,100.0,2,92159,0,0,0,0,59.3,1,2,5.7,5.7,12,Jetro,6.2,5,1,22.6,False,95.2,387,,2019-09-29T18:00:18.951779Z,45,0,0,0,92159.jpg,5.6,0,0,Willems,0.5,False,,a,13,4,71.0,28,26496,11741,13277,1386,1.4,6.2,Willems,0
