id_,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
374,0,0,14,100.0,100.0,0,89085,0,0,-1,1,2.0,0,3,0.2,-0.3,2,Nathaniel,0.7,1,0,2.8,False,20.0,109,,2019-08-08T17:00:14.660487Z,44,0,0,0,89085.jpg,1.5,0,0,Chalobah,0.2,False,,a,18,57,6.0,3,6059,371,10838,230,0.2,0.7,Chalobah,0
523,0,0,9,100.0,25.0,0,200826,0,0,-2,2,24.4,0,3,-0.1,0.2,0,Giovani,0.0,0,0,3.4,False,8.8,44,,2019-09-08T18:00:18.298488Z,73,0,0,0,200826.jpg,1.0,0,0,Lo Celso,0.2,False,,a,17,6,1.0,3,6784,31,36823,89,0.0,0.4,Lo Celso,0
504,0,0,0,,,0,444145,0,0,0,0,5.1,0,4,0.7,1.2,1,Gabriel Teodoro,0.2,0,0,2.4,False,5.4,45,,,45,0,0,0,444145.jpg,0.7,0,0,Martinelli Silva,1.4,False,,a,1,3,14.0,2,118511,1359,111143,2015,0.0,0.4,Martinelli,1
165,0,0,9,100.0,100.0,0,15033,0,0,-2,2,0.0,0,2,0.8,0.3,1,Wes,0.3,0,0,1.5,False,15.0,23,,2019-08-28T21:30:17.515643Z,43,0,0,0,15033.jpg,1.0,0,0,Morgan,0.8,False,,a,9,13,0.0,2,14867,297,59622,592,0.1,0.5,Morgan,0
220,0,0,6,100.0,100.0,0,209244,0,0,-3,3,0.7,0,3,1.8,1.3,1,Phil,0.3,0,0,0.3,False,1.0,11,,2019-09-17T15:30:09.993154Z,52,0,0,0,209244.jpg,1.0,0,0,Foden,0.3,False,,a,11,43,2.0,2,5828,114,32930,253,0.1,0.4,Foden,0
454,0,0,26,,,0,113564,0,0,-1,1,8.7,0,2,-1.0,-0.5,0,Sam,0.0,5,0,10.2,False,69.6,181,,,44,0,0,0,113564.jpg,0.7,0,0,Byram,0.1,False,,a,14,45,24.0,2,4019,31,6149,173,0.0,0.5,Byram,1
39,0,0,14,0.0,0.0,0,209362,0,0,-2,2,16.2,0,2,0.0,0.0,0,Bernardo,0.0,3,0,2.9,False,10.8,67,Knock - Unknown return date,2019-09-14T16:30:10.738160Z,43,0,0,0,209362.jpg,1.0,0,0,Fernandes da Silva Junior,0.1,False,,i,4,36,2.0,2,1521,1,7050,111,0.0,0.5,Bernardo,0
227,0,0,6,,,0,58893,0,0,-2,2,1.9,0,2,1.5,0.0,2,Marcos,0.5,2,0,2.8,False,20.2,120,,,48,0,0,0,58893.jpg,1.0,0,0,Rojo,0.2,False,,a,12,1,6.0,2,2556,257,7182,120,0.1,0.4,Rojo,1
186,0,0,18,100.0,100.0,0,38454,0,0,-2,2,0.0,0,2,1.0,1.0,0,Dejan,0.5,1,0,2.6,False,19.8,90,,2019-08-14T10:00:15.198752Z,53,0,0,0,38454.jpg,2.0,0,0,Lovren,0.2,False,,a,10,14,6.0,2,2998,114,13118,305,0.1,0.4,Lovren,0
194,0,0,6,75.0,75.0,0,68312,0,0,-2,2,1.5,0,3,0.4,0.4,0,Xherdan,0.0,0,0,1.1,False,1.8,11,Calf injury - 75% chance of playing,2019-09-25T09:00:17.914508Z,63,0,0,0,68312.jpg,1.0,0,0,Shaqiri,0.3,False,,d,10,14,8.0,2,4856,11,23669,163,0.0,0.3,Shaqiri,0
